pk_report_stock_balance,sort_key_report_stock_balance,c_des1,c_des2,diff_day,docno,first_recdate,GSI_ItemDate_Doc,GSI_PreEvent2,GSI_Wh_Prein_Item_Date_Doc,GSI_Whcode,itemcode,itemno,maincode,pre_event2,qtybal,qtyin,qtyout,seriesno,unitname,whcode
MG5#2021004#I-2021004-00067#39#1#P2000100100000,MG5#2021004#I-2021004-00067#39#1#P2000100100000,ดินถม,,617,I-2021004-00067,2024-01-16,P2000100100000#2024-01-16#I-2021004-00067#39#1,2021004,2021004#P2000100100000#2024-01-16#I-2021004-00067#39#1,001,P2000100100000,39,MG5,2021004,1,1,0,1,ลบ.ม.,001
MG5#2021004#I-2021004-00135#1563#1#P3050101200113,MG5#2021004#I-2021004-00135#1563#1#P3050101200113,ปูนกาว TTB,(25 กก./ถุง),383,I-2021004-00135,2024-09-06,P3050101200113#2024-09-06#I-2021004-00135#1563#1,2021004,2021004#P3050101200113#2024-09-06#I-2021004-00135#1563#1,001,P3050101200113,1563,MG5,2021004,1,1,0,1,ถุง,001
MG5#2021004#I-2021004-00135#106#1#P2000100400100,MG5#2021004#I-2021004-00135#106#1#P2000100400100,หิน,เบอร์ 1,383,I-2021004-00135,2024-09-06,P2000100400100#2024-09-06#I-2021004-00135#106#1,2021004,2021004#P2000100400100#2024-09-06#I-2021004-00135#106#1,001,P2000100400100,106,MG5,2021004,1,1,0,1,ลบ.ม.,001
MG5#2021004#I-2021004-00126#31#1#P2000101800100,MG5#2021004#I-2021004-00126#31#1#P2000101800100,ดินเหนียว,เนื้อละเอียด,405,I-2021004-00126,2024-08-15,P2000101800100#2024-08-15#I-2021004-00126#31#1,2021004,2021004#P2000101800100#2024-08-15#I-2021004-00126#31#1,001,P2000101800100,31,MG5,2021004,1,1,0,1,ลบ.ม.,001
MG5#2021004#I-2021004-00135#1023#1#P2400101300500,MG5#2021004#I-2021004-00135#1023#1#P2400101300500,น้ำยาล้าง,น้ำยาล้างรถ,383,I-2021004-00135,2024-09-06,P2400101300500#2024-09-06#I-2021004-00135#1023#1,2021004,2021004#P2400101300500#2024-09-06#I-2021004-00135#1023#1,001,P2400101300500,1023,MG5,2021004,1,1,0,1,แกลลอน,001
MG5#2021001#I-2021001-00012#4#1#P2000101300000,MG5#2021001#I-2021001-00012#4#1#P2000101300000,ทรายหยาบ,,790,I-2021001-00012,2023-07-27,P2000101300000#2023-07-27#I-2021001-00012#4#1,2021001,2021001#P2000101300000#2023-07-27#I-2021001-00012#4#1,W001,P2000101300000,4,MG5,2021001,1,1,0,1,ลบ.ม.,W001
MG5#2021004#I-2021004-00135#1358#1#P1050100200500,MG5#2021004#I-2021004-00135#1358#1#P1050100200500,เหล็กข้ออ้อย,SD 40 DB16mm. ยาว 10.00 m.,383,I-2021004-00135,2024-09-06,P1050100200500#2024-09-06#I-2021004-00135#1358#1,2021004,2021004#P1050100200500#2024-09-06#I-2021004-00135#1358#1,001,P1050100200500,1358,MG5,2021004,1,1,0,1,เส้น,001
MG5#2021006#I-2021006-00003#12#1#P2000101300000,MG5#2021006#I-2021006-00003#12#1#P2000101300000,ทรายหยาบ,,1400,I-2021006-00003,2021-11-24,P2000101300000#2021-11-24#I-2021006-00003#12#1,2021006,2021006#P2000101300000#2021-11-24#I-2021006-00003#12#1,W1,P2000101300000,12,MG5,2021006,1,1,0,1,ลบ.ม.,W1
MG5#2021004#I-2021004-00135#946#1#P1100101101800,MG5#2021004#I-2021004-00135#946#1#P1100101101800,เหล็กแผ่นลาย,4'x8'x3.2mm.,383,I-2021004-00135,2024-09-06,P1100101101800#2024-09-06#I-2021004-00135#946#1,2021004,2021004#P1100101101800#2024-09-06#I-2021004-00135#946#1,001,P1100101101800,946,MG5,2021004,1,1,0,1,แผ่น12345,001
MG5#2021004#I-2021004-00135#422#1#P3050101300119,MG5#2021004#I-2021004-00135#422#1#P3050101300119,ปูนยาแนว PO-157,(1 กก./ถุง),383,I-2021004-00135,2024-09-06,P3050101300119#2024-09-06#I-2021004-00135#422#1,2021004,2021004#P3050101300119#2024-09-06#I-2021004-00135#422#1,001,P3050101300119,422,MG5,2021004,1,1,0,1,ถุง,001
MG5#2021004#I-2021004-00135#2151#1#P2400104304400,MG5#2021004#I-2021004-00135#2151#1#P2400104304400,อุปกรณ์ความปลอดภัยส่วนบุคคล,หมวกเซฟตี้ สีแดง,383,I-2021004-00135,2024-09-06,P2400104304400#2024-09-06#I-2021004-00135#2151#1,2021004,2021004#P2400104304400#2024-09-06#I-2021004-00135#2151#1,001,P2400104304400,2151,MG5,2021004,1,1,0,1,ใบ,001
MG5#2021004#I-2021004-00126#148#1#P2000101800100,MG5#2021004#I-2021004-00126#148#1#P2000101800100,ดินเหนียว,เนื้อละเอียด,405,I-2021004-00126,2024-08-15,P2000101800100#2024-08-15#I-2021004-00126#148#1,2021004,2021004#P2000101800100#2024-08-15#I-2021004-00126#148#1,001,P2000101800100,148,MG5,2021004,1,1,0,1,ลบ.ม.,001
MG5#2021004#I-2021004-00135#1861#1#P2400102800900,MG5#2021004#I-2021004-00135#1861#1#P2400102800900,ดอกสกัด/อุปกรณ์ดอกสกัด,ดอกสกัดไฟฟ้า HM-1500,383,I-2021004-00135,2024-09-06,P2400102800900#2024-09-06#I-2021004-00135#1861#1,2021004,2021004#P2400102800900#2024-09-06#I-2021004-00135#1861#1,001,P2400102800900,1861,MG5,2021004,1,1,0,1,ดอก,001
MG5#2021004#I-2021004-00126#229#1#P2000101800100,MG5#2021004#I-2021004-00126#229#1#P2000101800100,ดินเหนียว,เนื้อละเอียด,405,I-2021004-00126,2024-08-15,P2000101800100#2024-08-15#I-2021004-00126#229#1,2021004,2021004#P2000101800100#2024-08-15#I-2021004-00126#229#1,001,P2000101800100,229,MG5,2021004,1,1,0,1,ลบ.ม.,001
MG5#2021004#I-2021004-00135#1797#1#P2400102800900,MG5#2021004#I-2021004-00135#1797#1#P2400102800900,ดอกสกัด/อุปกรณ์ดอกสกัด,ดอกสกัดไฟฟ้า HM-1500,383,I-2021004-00135,2024-09-06,P2400102800900#2024-09-06#I-2021004-00135#1797#1,2021004,2021004#P2400102800900#2024-09-06#I-2021004-00135#1797#1,001,P2400102800900,1797,MG5,2021004,1,1,0,1,ดอก,001
MG5#2021004#I-2021004-00126#23#1#P2000101800100,MG5#2021004#I-2021004-00126#23#1#P2000101800100,ดินเหนียว,เนื้อละเอียด,405,I-2021004-00126,2024-08-15,P2000101800100#2024-08-15#I-2021004-00126#23#1,2021004,2021004#P2000101800100#2024-08-15#I-2021004-00126#23#1,001,P2000101800100,23,MG5,2021004,1,1,0,1,ลบ.ม.,001
MG5#2021004#I-2021004-00135#1900#1#P4050101200800,MG5#2021004#I-2021004-00135#1900#1#P4050101200800,ท่อใยหิน,ขนาด 90x50 ซม.,383,I-2021004-00135,2024-09-06,P4050101200800#2024-09-06#I-2021004-00135#1900#1,2021004,2021004#P4050101200800#2024-09-06#I-2021004-00135#1900#1,001,P4050101200800,1900,MG5,2021004,1,1,0,1,ท่อน,001
MG5#2021001#I-2021001-00006#23#1#P2000101300000,MG5#2021001#I-2021001-00006#23#1#P2000101300000,ทรายหยาบ,,1566,I-2021001-00006,2021-06-11,P2000101300000#2021-06-11#I-2021001-00006#23#1,2021001,2021001#P2000101300000#2021-06-11#I-2021001-00006#23#1,W001,P2000101300000,23,MG5,2021001,1,1,0,1,ลบ.ม.,W001
